W8,NightmareWGovt_1,NightmareWGovt_2,NightmareWGovt_3,NightmareWGovt_5,NightmareWGovt_6,NightmareWGovt_7,NightmareWGovt_8,NightmareWGovt_9,NightmareWGovt_10,StopReform
1.255080618,,No,No,No,No,No,No,Yes,No,
1.67575255,No,Yes,No,No,No,,No,No,No,
.900770491,No,,No,,Yes,,No,No,No,Plaid Cymru
.569279337,No,Yes,,No,Yes,,No,No,No,Don't know
1.018393403,No,Yes,No,,No,No,No,No,No,
.479180266,Yes,No,,No,No,No,No,No,No,
.861147413,,No,No,Yes,No,No,No,No,No,
.830059519,,Yes,No,No,No,No,No,No,No,
.32612309,Yes,Yes,No,,Yes,No,No,No,No,Plaid Cymru
2.138956235,Yes,Yes,No,Yes,No,Yes,No,No,No,
1.223342706,No,No,No,No,Yes,No,No,No,No,Liberal Democrats
.912388227,No,Yes,Yes,No,,Yes,No,No,No,
.462377971,No,No,No,,No,No,No,No,Yes,
.648173201,No,No,No,No,,Yes,No,No,No,
.761124125,No,No,,No,Yes,No,No,No,No,Liberal Democrats
.434326722,Yes,No,,,Yes,No,No,No,No,Liberal Democrats
.501545981,No,Yes,No,Yes,,Yes,No,No,No,
.520083779,,Yes,Yes,Yes,,Yes,No,No,No,
.772712401,,Yes,Yes,Yes,,Yes,No,No,No,
.587159774,,Yes,No,No,Yes,Yes,No,No,No,Conservatives
1.519388618,Yes,Yes,No,Yes,,Yes,No,No,No,
.990659749,No,,,,Yes,No,No,No,No,Plaid Cymru
1.043727345,No,No,No,No,No,No,No,No,Yes,
.672081975,Yes,Yes,Yes,Yes,No,Yes,No,No,No,
.54190598,Yes,Yes,No,,Yes,No,No,No,No,Plaid Cymru
.799197406,Yes,,No,,Yes,No,No,No,No,Plaid Cymru
3.028991991,Yes,,,,Yes,,No,No,No,Plaid Cymru
.563901295,,Yes,Yes,No,,No,No,No,No,
.681374005,Yes,Yes,Yes,Yes,,Yes,No,No,No,
3.254945461,No,No,Yes,No,Yes,Yes,No,No,No,Conservatives
1.166577885,No,No,No,No,No,No,No,No,Yes,
.780403815,No,Yes,Yes,Yes,,Yes,No,No,No,
1.172776086,,No,No,No,Yes,No,No,No,No,Plaid Cymru
1.509407128,No,,No,,Yes,No,No,No,No,Plaid Cymru
1.224007523,No,No,No,,Yes,No,No,No,No,Don't know
.4009602,Yes,No,,,Yes,No,No,No,No,Plaid Cymru
1.37347432,No,No,No,No,No,No,No,No,Yes,
1.402585905,No,No,No,No,No,No,No,No,Yes,
.947455682,No,,No,No,Yes,No,No,No,No,Labour
.543218134,No,No,No,Yes,,Yes,No,No,No,
1.042203152,Yes,Yes,Yes,No,,Yes,No,No,No,
.867798649,,No,No,No,Yes,No,No,No,No,Don't know
.618299043,Yes,,No,,Yes,No,No,No,No,None of these
1.955470165,,Yes,Yes,No,,Yes,No,No,No,
.7430398499999999,No,Yes,No,,Yes,No,No,No,No,Plaid Cymru
1.594760515,Yes,No,,,Yes,No,No,No,No,Plaid Cymru
.466193566,Yes,,,,Yes,,No,No,No,Plaid Cymru
1.405683,No,Yes,No,No,No,No,No,No,No,
4.190414264,No,No,No,No,No,No,No,Yes,No,
.8499575539999999,,Yes,Yes,Yes,Yes,Yes,No,No,No,Don't know
.673932452,Yes,,No,No,No,No,No,No,No,
1.588149135,No,No,No,No,No,No,No,No,Yes,
.567992888,,Yes,No,,Yes,Yes,No,No,No,Conservatives
.944605671,No,Yes,No,,No,No,No,No,No,
.711314659,Yes,,Yes,Yes,Yes,Yes,No,No,No,Labour
.552963395,No,No,No,No,Yes,No,No,No,No,Don't know
.396170217,No,No,No,No,No,No,No,No,Yes,
.421835683,Yes,No,,,Yes,,No,No,No,Plaid Cymru
.799427109,Yes,Yes,,No,Yes,,No,No,No,Don't know
.462224537,Yes,Yes,,,Yes,No,No,No,No,Liberal Democrats
.642813285,,No,,Yes,No,No,No,No,No,
.991545617,Yes,,,,Yes,No,No,No,No,Plaid Cymru
